,titulo,caracteristicas,precos,endereco,rua,bairro,cidade,data_pesquisa
264,Casa para Aluguel - no Residencial Flamingo,443 m² área total 164 m² área útil 3 Quartos 2 Banheiros 4 Vagas,R$ 1.200,"Rua Maria Gonçalves de Araujo , Residencial Flamingo, Goiânia",,,,27-07-20
265,Quadra Qe 34 Conjunto H,200 m² área total 180 m² área útil 5 Quartos 2 Banheiros 4 Vagas,R$ 3.210,"Quadra QE 34 Conjunto H, Guara II, Guará",,,,27-07-20
266,"Jardim Botânico Quadra 2, Mobiliada, Reformada",1360 m² área total 700 m² área útil 5 Quartos 7 Banheiros 6 Vagas,R$ 19.990,"Setor Habitacional Jardim Botânico, Brasília",,,,27-07-20
267,"Casa para Alugar, 3 Quartos, Balneário Meia Ponte",84 m² área total 84 m² área útil 3 Quartos 1 Banheiro 1 Vaga,R$ 1.200,"Jardim Balneário Meia Ponte, Goiânia",,,,27-07-20
268,"Casa para Alugar, 3 Quartos, Balneário Meia Ponte",84 m² área total 84 m² área útil 3 Quartos 1 Banheiro 1 Vaga,R$ 1.200,"Jardim Balneário Meia Ponte, Goiânia",,,,27-07-20
269,"Casa para Alugar, 3 Quartos, Balneário Meia Ponte",84 m² área total 84 m² área útil 3 Quartos 1 Banheiro 1 Vaga,R$ 1.200,"Jardim Balneário Meia Ponte, Goiânia",,,,27-07-20
270,"Casa para Alugar, 3 Quartos, Balneário Meia Ponte",84 m² área total 84 m² área útil 3 Quartos 1 Banheiro 1 Vaga,R$ 1.200,"Jardim Balneário Meia Ponte, Goiânia",,,,27-07-20
271,Casa - Park Way,2500 m² área total 650 m² área útil 3 Quartos 15 Vagas,R$ 18.000,"SMPW QUADRA 26, Park Way, Brasília",,,,27-07-20
272,Casa - Abreu,2 Quartos,R$ 850,"Abreu, Formosa",,,,27-07-20
273,"Casa para Alugar, 3 Quartos, Balneário Meia Ponte",84 m² área total 84 m² área útil 3 Quartos 1 Banheiro 1 Vaga,R$ 1.200,"Jardim Balneário Meia Ponte, Goiânia",,,,27-07-20
274,"Casa Com 3 Dormitórios para Alugar, 86 m² Por R$1.400,00/mês - Vila Bela - Goiânia/go",230 m² área total 86 m² área útil 3 Quartos 2 Banheiros,R$ 1.400,"Vila Bela, Goiânia",,,,27-07-20
275,"Elegante, Alto Padrão.",1000 m² área total 900 m² área útil 5 Quartos 6 Vagas,R$ 16.000,"Quadra SHDB QL 32, Lago Sul, Brasília",,,,27-07-20
276,"Qr 122 - Casa Com 3 Dormitórios para Alugar, 113 m² - Samambaia/df",150 m² área total 113 m² área útil 3 Quartos 1 Banheiro 3 Vagas,R$ 1.400,"Samambaia Sul, Samambaia",,,,27-07-20
277,Alugo Casa Com 6 Quartos na Quadra 13 Conjunto A Sobradinho - Df,424 m² área total 350 m² área útil 6 Quartos 2 Banheiros 2 Vagas,R$ 4.500,"Quadra 13 Conjunto A Casa 8 , Sobradinho, Sobradinho",,,,27-07-20
278,Jardins Do Lago - Jaridm Botânico - Casa 4 Quartos,790 m² área total 350 m² área útil 4 Quartos,R$ 20.000,"Condomínio Residencial Jardins Do Lago 6, Setor Habitacional Jardim Botânico, Brasília",,,,27-07-20
279,Casa Moderna Com Ótima Vista Da Pornte Jk - Qi26,960 m² área total 930 m² área útil 5 Quartos 4 Vagas,R$ 25.000,"Quadra Shis Qi 26 0, Lago Sul, Brasília",,,,27-07-20
280,Ótima Casa para Locação Ou Venda - Jardins Do Lago,2500 m² área total 987 m² área útil 4 Quartos 7 Banheiros,R$ 28.000,"Quadra SHIS QI 25 Conjunto 13 1, Lago Sul, Brasília",,,,27-07-20
281,"Casa para Aluguel - Ceilândia, 4 Quartos, 200 m²",200 m² área total 200 m² área útil 4 Quartos 2 Banheiros 3 Vagas,R$ 1.500,"Setor P Qnp 20 Conjunto K, Ceilandia Centro, Ceilândia",,,,27-07-20
282,"Casa Com 4 Dormitórios para Alugar, 300 m² Por R$4.300,00/mês - Guará II - Guará/df",212 m² área total 300 m² área útil 4 Quartos 3 Banheiros,R$ 4.300,"Quadra Qe 19 Conjunto A 26, Guara II, Guará",,,,27-07-20
283,"Casa Com 4 Dormitórios para Alugar, 300 m² Por R$4.300,00/mês - Guará II - Guará/df",212 m² área total 300 m² área útil 4 Quartos 3 Banheiros,R$ 4.300,"Quadra Qe 19 Conjunto A 26, Guara II, Guará",,,,27-07-20
284,Smdb Conjunto 19 - Oportunidade Casa Térrea,2660 m² área total 740 m² área útil 4 Quartos 8 Banheiros 9 Vagas,R$ 15.000,"Lago Sul, Brasília",,,,27-07-20
285,Shis Qi 28 Casa Lago Sul Aluguel,776 m² área total 5 Quartos 8 Banheiros,R$ 14.000,"Lago Sul, Brasília",,,,27-07-20
286,Casa De 02 Quartos na Qnm 01,250 m² área total 61 m² área útil 2 Quartos 1 Banheiro 2 Vagas,R$ 850,"Ceilandia Sul, Ceilândia",,,,27-07-20
287,Qe 17 Conjunto K - Guará Ii - Casa De 4 Quartos,120 m² área total 120 m² área útil 4 Quartos 4 Banheiros 1 Vaga,R$ 4.500,"Guara II, Guará",,,,27-07-20
288,Quarto Semi Mobiliado Aluguel - Setor Central,30 m² área total 30 m² área útil 1 Quarto 0 Banheiros,R$ 690,"Setor Central, Goiânia",,,,27-07-20
289,Casa para Aluguel - em Taguatinga Sul,40 m² área total 30 m² área útil 1 Quarto 1 Banheiro,R$ 750,"Taguatinga Sul, Taguatinga",,,,27-07-20
290,Ótima Casa Com 03 Quartos na Quadra 02 Conjunto B - 9 Sobradinho - Df,80 m² área total 80 m² área útil 3 Quartos 1 Banheiro 4 Vagas,R$ 1.700,"Quadra 2 Conjunto B-9 , Sobradinho, Sobradinho",,,,27-07-20
291,"Casa para Aluguel - Jardim Atlântico, 3 Quartos, 124 m²",124 m² área total 124 m² área útil 3 Quartos 2 Banheiros 2 Vagas,R$ 1.350,"Rua C172, Jardim Atlântico, Goiânia",,,,27-07-20
292,Praça Universitária,80 m² área total 80 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 780,"Avenida Universitária, Setor Leste Universitário, Goiânia-GO , Setor Leste Universitário, Goiânia",,,,27-07-20
293,Casa - Taguatinga Norte,50 m² área total 50 m² área útil 1 Quarto 2 Banheiros,R$ 700,"Taguatinga Norte, Taguatinga",,,,27-07-20
294,"Qnn 04 - Casa Com 2 Dormitórios para Alugar, 62 m² - Ceilândia Sul /df",62 m² área total 62 m² área útil 2 Quartos 1 Banheiro,R$ 900,"Ceilandia Sul, Ceilândia",,,,27-07-20
295,"Samambaia, Casa Com 2 Quartos (1suíte), Próximo Do Metrô, Única no Lote",70 m² área total 70 m² área útil 2 Quartos 2 Banheiros 3 Vagas,R$ 980,"QR 110 CONJUNTO 01, Samambaia Sul, Samambaia",,,,27-07-20
296,"Altiplano Leste – Casa/chácara, 2 Suítes, 440 m², Lareira, Varanda, Churrasqueira, Linda Vista, Mir",2500 m² área total 440 m² área útil 2 Quartos 3 Banheiros,R$ 6.000,"Centro, Brasília",,,,27-07-20
297,"Casa para Aluguel - Guará, 2 Quartos, 80 m²",80 m² área total 80 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 1.500,"Qe 32, Centro, Guará",,,,27-07-20
298,"Casa para Aluguel - Jardim Atlântico, 3 Quartos, 135 m²",135 m² área total 135 m² área útil 3 Quartos 3 Banheiros 5 Vagas,R$ 2.200,"Rua Recife, Jardim Atlântico, Goiânia",,,,27-07-20
299,"Casa para Aluguel - Setor Campinas, 2 Quartos, 100 m²",100 m² área total 100 m² área útil 2 Quartos 3 Banheiros,R$ 1.200,"Avenida Marechal Deodoro, Setor Campinas, Goiânia",,,,27-07-20
300,"Casa para Aluguel - Setor Campinas, 2 Quartos, 100 m²",100 m² área total 100 m² área útil 2 Quartos 3 Banheiros,R$ 1.200,"Avenida Marechal Deodoro, Setor Campinas, Goiânia",,,,27-07-20
301,"Casa para Aluguel - Guará, 2 Quartos, 80 m²",80 m² área total 80 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 1.500,"Qe 32, Centro, Guará",,,,27-07-20
302,"Casa para Aluguel - Setor Sudoeste, 3 Quartos, 165 m²",165 m² área total 165 m² área útil 3 Quartos 2 Banheiros 3 Vagas,R$ 1.800,"Rua C-94 Quadra 195 Lote 12, Setor Sudoeste, Goiânia",,,,27-07-20
303,"Casa para Aluguel - Setor Sul, 4 Quartos, 348 m²",348 m² área total 348 m² área útil 4 Quartos 4 Banheiros,R$ 10.200,"Rua 89, Setor Sul, Goiânia",,,,27-07-20
304,Casa - Santo Andre,100 m² área total 3 Quartos 1 Banheiro,R$ 1.000,"Centro, Rio Verde",,,,27-07-20
305,Casa para Aluguel - em Taguatinga Sul,90 m² área total 90 m² área útil 3 Quartos 2 Banheiros,R$ 800,"QSD 8, Taguatinga Sul, Taguatinga",,,,27-07-20
306,Qi 14 Conjunto F Térreo,4 Quartos 3 Banheiros 2 Vagas,R$ 2.880,"Guara I, Guará",,,,27-07-20
307,"Casa Com 2 Dormitórios para Alugar, 80 m² Por R$2.000,00/mês - Cruzeiro Velho - Cruzeiro/df",230 m² área total 80 m² área útil 2 Quartos 1 Banheiro 2 Vagas,R$ 2.000,"Quadra SRES Quadra 4 Bloco P 2, Cruzeiro Velho, Cruzeiro",,,,27-07-20
308,"Shis Qi 05 - Casa Térrea, Charmosa E Aconchegante.",2000 m² área total 500 m² área útil 4 Quartos 5 Banheiros 3 Vagas,R$ 19.500,"QD Shis Qi 5 5, Lago Sul, Brasília",,,,27-07-20
309,"Casa 2 Quartos, Jardim Petrópolis",65 m² área total 65 m² área útil 2 Quartos 2 Banheiros 1 Vaga,R$ 650,"Rua São Luiz , Jardim Petrópolis, Goiânia",,,,27-07-20
310,"Casa Com 3 Dormitórios para Alugar, 120 m² Por R$2.950,00/mês - Guará II - Guará/df",130 m² área total 120 m² área útil 3 Quartos 2 Banheiros 1 Vaga,R$ 2.950,"Quadra QE 28 Conjunto L 3, Guara II, Guará",,,,27-07-20
311,"Casa Com 1 Quarto Suite para Alugar, 90 m² Por R$750/mês - Taguatinga Norte - Taguatinga/df",104 m² área total 90 m² área útil 1 Quarto 1 Banheiro 1 Vaga,R$ 750,"Quadra Qnb 2 34, Taguatinga Norte, Taguatinga",,,,27-07-20
312,"Casa Residencial para Locação, Taguatinga Norte, Taguatinga.",200 m² área total 60 m² área útil 2 Quartos 2 Banheiros 1 Vaga,R$ 1.500,"Quadra QNL 1 Conjunto H 6, Taguatinga Norte, Taguatinga",,,,27-07-20
313,Casa para Aluguel - na Asa Sul,45 m² área total 35 m² área útil 1 Quarto 1 Banheiro,R$ 1.200,"Asa Sul, Brasília",,,,27-07-20
314,Aluga - Se Casa - Lago Sul - Shis Ql 02| Excelente para Embaixada Ou Escritório,4000 m² área total 730 m² área útil 9 Quartos 7 Banheiros 20 Vagas,R$ 12.500,"SHIS QL 02 PRÓXIMO AO AEROPORTO , Lago Sul, Brasília",,,,27-07-20
315,Ql 28 Casa Nova Espetacular,1200 m² área total 700 m² área útil 4 Quartos 3 Vagas,R$ 25.000,"Lago Sul, Brasília",,,,27-07-20
316,Casa - Recanto Das Emas,90 m² área total 90 m² área útil 2 Quartos 1 Vaga,R$ 750,"Recanto das Emas, Recanto das Emas",,,,27-07-20
317,Casa - Guara,119 m² área total 119 m² área útil 3 Quartos,R$ 2.200,"QE 01 CONJ I CASA 04 FRENTE, Centro, Guará",,,,27-07-20
318,"Casa para Alugar Com 2 Quartos, 80 m²",80 m² área total 80 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 1.500,"Quadra Qe 32 Conjunto O 0, Guara II, Guará",,,,27-07-20
319,Casa - Qe 44 Conjunto G - 2º Andar,76 m² área total 76 m² área útil 2 Quartos 1 Banheiro,R$ 1.000,"QE 44 Conjunto G casa 11 - 2º andar , Guara II, Guará",,,,27-07-20
320,Casa - Centro,400 m² área total 4 Quartos,R$ 3.500,"Centro, Rio Verde",,,,27-07-20
321,Shis Ql 04 Conjunto 01 Casa 11 Lago Sul,800 m² área total 800 m² área útil 4 Quartos 6 Banheiros 6 Vagas,R$ 11.900,"QUADRA SHIS QL 4 CONJUNTO 1 11, Lago Sul, Brasília",,,,27-07-20
322,Próximo Da Epnb.,90 m² área total 90 m² área útil 2 Quartos 1 Banheiro,R$ 1.400,"Quadra QN 1 Conjunto 1, Riacho Fundo I, Riacho Fundo",,,,27-07-20
323,Casa para Aluguel - no Setor Habitacional Jardim Botânico,670 m² área total 180 m² área útil 2 Quartos 1 Banheiro 3 Vagas,R$ 3.500,"Setor Habitacional Jardim Botânico, Brasília",,,,27-07-20
324,Smdb 27 - Linda Casa Com Área De Lazer Completa,3250 m² área total 750 m² área útil 6 Quartos 10 Banheiros 4 Vagas,R$ 11.000,"SMDB 27 - Linda casa com área de lazer completa, Lago Sul, Brasília",,,,27-07-20
325,"Casa Com 2 Dormitórios para Alugar Por R$850,00/mês - Setor De Mansões De Sobradinho - Sobradinho/d",62 m² área total 62 m² área útil 2 Quartos 1 Banheiro,R$ 850,"Quadra Qms 28 2, Setor De Mansões De Sobradinho, Sobradinho",,,,27-07-20
326,Casa - Região Dos Lagos,2 Quartos 1 Banheiro 1 Vaga,R$ 1.000,"Região Dos Lagos, Sobradinho",,,,27-07-20
327,Quadra Qe 38 Conjunto J,120 m² área total 120 m² área útil 3 Quartos 0 Banheiros,R$ 1.300,"Quadra QE 38 Conjunto J 0, Guara II, Guará",,,,27-07-20
328,Smdb Conjunto 19 - Oportunidade Casa Térrea,2660 m² área total 740 m² área útil 4 Quartos 8 Banheiros 9 Vagas,R$ 15.000,"Lago Sul, Brasília",,,,27-07-20
329,Casa Mobiliada Ql 18 Lago Sul Aluguel,800 m² área total 600 m² área útil 4 Quartos 4 Vagas,R$ 15.000,"Lago Sul, Brasília",,,,27-07-20
330,Casa - Sobradinho,4 Quartos 1 Banheiro 2 Vagas,R$ 1.900,"Sobradinho, Sobradinho",,,,27-07-20
331,"Casa 3 Quartos + Dce, Sozinha no Lote, Próximo Do Centro De Taguatinga, Metro.",310 m² área total 310 m² área útil 3 Quartos 2 Banheiros 5 Vagas,R$ 3.300,"Quadra QSA 19 42, Taguatinga Sul, Taguatinga",,,,27-07-20
332,"Casa para Aluguel - Ceilândia, 1 Quarto, 45 m²",45 m² área total 45 m² área útil 1 Quarto 1 Banheiro 1 Vaga,R$ 600,"Qno 3 Conjunto A, Ceilandia Centro, Ceilândia",,,,27-07-20
333,"3 Quartos. 4 Vagas De Garagem. Casa Residencial / Comercial Taguatinga Centro, Ao Lado Do Tribunal D",163 m² área total 163 m² área útil 4 Quartos 3 Banheiros 4 Vagas,R$ 2.300,"3 quartos. 4 vagas de garagem. Casa Residencial / Comercial Taguatinga Centro, ao lado do Tribunal de Justiça. QSB 1 Taguatinga Sul - DF,",,,,27-07-20
334,"Casa para Aluguel - Samambaia, 5 Quartos, 300 m²",300 m² área total 300 m² área útil 5 Quartos 4 Banheiros 3 Vagas,R$ 2.171,"Qr 514, Samambaia, Samambaia",,,,27-07-20
335,Casa Qsb 03 Com 3 Dormitórios para Locação Taguatinga Sul Df,320 m² área total 320 m² área útil 3 Quartos 1 Banheiro 3 Vagas,R$ 2.600,"Quadra QSB 3 13, Taguatinga Sul, Taguatinga",,,,27-07-20
336,Casa Térrea Com Ótima Localização no Lago Sul,1200 m² área total 420 m² área útil 4 Quartos 5 Banheiros 4 Vagas,R$ 12.000,"QI 05 Conjunto 19, Lago Sul, Brasília",,,,27-07-20
337,Qnp 14 Conjunto C Oferta,40 m² área total 40 m² área útil 1 Quarto 1 Banheiro,R$ 400,"QNP 14 CONJUNTO C, Ceilandia Sul, Ceilândia",,,,27-07-20
338,Casa De 3 Quartos Qr 302 Santa Maria,150 m² área total 150 m² área útil 3 Quartos 2 Banheiros 1 Vaga,R$ 860,"Santa Maria, Santa Maria",,,,27-07-20
339,"Sobrado para Alugar, 250 m² Por R$4.900,00/mês - Loteamento Portal Do Sol II - Goiânia/go",250 m² área total 250 m² área útil 4 Quartos 5 Banheiros 3 Vagas,R$ 4.900,"Rua SB 34 0, Loteamento Portal do Sol II, Goiânia",,,,27-07-20
340,"Sobrado para Alugar, 250 m² Por R$4.900,00/mês - Loteamento Portal Do Sol II - Goiânia/go",250 m² área total 250 m² área útil 4 Quartos 5 Banheiros 3 Vagas,R$ 4.900,"Rua SB 34 0, Loteamento Portal do Sol II, Goiânia",,,,27-07-20
341,Qno 13 Conjunto B,120 m² área total 120 m² área útil 3 Quartos 1 Banheiro 2 Vagas,R$ 900,"QNO 13 CONJUNTO B, Ceilandia Norte, Ceilândia",,,,27-07-20
342,Qi 05 Conjunto I Casa 134 - Fundos,95 m² área total 95 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 1.300,"QI 05 CONJUNTO I CASA 134 - FUNDOS , Guara I, Guará",,,,27-07-20
343,Casa - Centro,150 m² área total 2 Quartos 2 Vagas,R$ 900,"Centro, Rio Verde",,,,27-07-20
344,Casa para Aluguel - no Lago Sul,750 m² área total 750 m² área útil 5 Quartos 7 Banheiros 4 Vagas,R$ 12.500,"SHIS QL 6, Lago Sul, Brasília",,,,27-07-20
345,Alugo Casa 2 Quartos E Garagem,200 m² área total 70 m² área útil 2 Quartos 1 Banheiro 2 Vagas,R$ 800,"QUADRA F CONJUNTO F-2 CASA 17, Vila Nossa Senhora De Fátima, Planaltina",,,,27-07-20
346,Casa para Aluguel no Residencial Santos Dumont,150 m² área total 120 m² área útil 2 Quartos 2 Banheiros 2 Vagas,R$ 1.500,"Residencial Santos Dumont, Santa Maria",,,,27-07-20
347,Ótima Casa no Park Way em Excelente Localização,2500 m² área total 620 m² área útil 4 Quartos 6 Banheiros,R$ 8.000,"Quadra SMPW Quadra 5 1, Park Way, Brasília",,,,27-07-20
348,Casa - Ceilândia Norte - Qnp 5 Conjunto O Casa 11,60 m² área total 60 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 980,"Centro, Ceilândia",,,,27-07-20
349,"C. A Sucupira - Ótima Casa De 3 Quartos, Sendo 01 Suíte na Sucupira",110 m² área total 110 m² área útil 3 Quartos 1 Banheiro 2 Vagas,R$ 1.400,"chácara 6 lote 27a, Riacho Fundo I, Riacho Fundo",,,,27-07-20
350,Smpw Quadra 26,10000 m² área total 4 Quartos 5 Banheiros 4 Vagas,R$ 20.000,"SMPW Quadra 26 Conjunto 2, Park Way, Brasília",,,,27-07-20
351,Casa para Aluguel - no Sobradinho,500 m² área total 300 m² área útil 4 Quartos 1 Banheiro 5 Vagas,R$ 1.800,"Sobradinho, Sobradinho",,,,27-07-20
352,Shigs 707 - Casa 02 Pavimentos - 04 Qts - 2 Sts - Lavabo - Dce - Excelente Localização,300 m² área total 300 m² área útil 4 Quartos,R$ 4.600,"SHIGS 707- CASA 02 PAVIMENTOS - 04 QTS - 2 STS - LAVABO - DCE - EXCELENTE LOCALIZAÇÃO, Asa Sul, Brasília",,,,27-07-20
353,Qi 15 - Mansão - Imperdível Residência / Escritório. Local Central,951 m² área total 820 m² área útil 8 Quartos 9 Banheiros 10 Vagas,R$ 22.000,"Lago Sul, Brasília",,,,27-07-20
354,Shigs 703 Bloco K - Asa Sul - Casa Com 5 Quartos,245 m² área total 245 m² área útil 5 Quartos 4 Banheiros 2 Vagas,R$ 5.300,"Asa Sul, Brasília",,,,27-07-20
355,Shin Qi 11 - Casa 11 Qts Com Piscina E Hidromassagem,1100 m² área total 1100 m² área útil 11 Quartos 12 Banheiros 9 Vagas,R$ 15.000,"Lago Norte, Brasília",,,,27-07-20
356,"Casa Com 2 Dormitórios para Alugar, 71 m² Por R$850,00/mês - Setor Pedro Ludovico - Goiânia/go",430 m² área total 71 m² área útil 2 Quartos,R$ 850,"Setor Pedro Ludovico, Goiânia",,,,27-07-20
357,Linda Casa Primeira Locação,690 m² área total 230 m² área útil 3 Quartos,R$ 5.500,"CONDOMÍNIO ESTÂNCIA QUINTAS DA ALVORADA, Setor Habitacional Jardim Botânico, Brasília",,,,27-07-20
358,Excelente Casa na Quadra 27 Park Way Aluguel,4000 m² área total 4 Quartos 3 Vagas,R$ 5.500,"Park Way, Brasília",,,,27-07-20
359,Qr 1a Conjunto J Lote 08 - Térreo De Um Belo Sobrado!,100 m² área total 100 m² área útil 3 Quartos 2 Banheiros 1 Vaga,R$ 2.300,"QR 1A CONJUNTO J , Centro, Brasília",,,,27-07-20
360,Excelente Casa na Quadra 27 Park Way Aluguel 4 Quartos,4000 m² área total 4 Quartos 3 Vagas,R$ 5.500,"Park Way, Brasília",,,,27-07-20
361,Casa Setor De Mansões Do Lago Norte,2308 m² área total 693 m² área útil 9 Quartos 0 Banheiros 10 Vagas,R$ 17.000,"SMLN ML Trecho 7 Conjunto 2, Lago Norte, Brasília",,,,27-07-20
362,Linda Casa De 600 m E Mais 1000 m De Área Verde. Vista Do Lago.,1500 m² área total 600 m² área útil 0 Quartos 7 Banheiros 4 Vagas,R$ 20.000,"Lago Sul, Brasília",,,,27-07-20
363,Excelente Sobrado 4 Quartos na Qe 26 Guará 2,120 m² área total 185 m² área útil 4 Quartos 2 Banheiros 2 Vagas,R$ 3.100,"Quadra QE 26 Conjunto S 41, Guara II, Guará",,,,27-07-20
364,Casa - Centro,300 m² área total 4 Quartos,R$ 2.600,"Centro, Rio Verde",,,,27-07-20
365,Casa - Ceilandia Sul,140 m² área total 140 m² área útil 4 Quartos 2 Vagas,R$ 1.400,"Ceilandia Sul, Ceilândia",,,,27-07-20
366,Casa - Centro,3 Quartos 2 Vagas,R$ 1.600,"Centro, Rio Verde",,,,27-07-20
367,"Casa De Fundos 80 m², 2 Quartos, Com Varanda, Entrada Individual, Ótima Localização.",80 m² área total 80 m² área útil 2 Quartos 1 Banheiro,R$ 1.400,"QUADRA QSD 5, Taguatinga Sul, Taguatinga",,,,27-07-20
368,Casa no Solar De Brasília Térrea Com 4 Suítes E Lazer Completo.,800 m² área total 600 m² área útil 4 Quartos 4 Banheiros 6 Vagas,R$ 15.000,"Avenida Solar Condomínio Solar de Brasília , Lago Sul, Brasília",,,,27-07-20
369,Ql 12 Casa Lago Sul Oportunidade,3000 m² área total 1200 m² área útil 8 Quartos 30 Vagas,R$ 30.000,"Lago Sul, Brasília",,,,27-07-20
370,Casa para Aluguel - no Riacho Fundo,80 m² área total 80 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 1.600,"QN 7 Conjunto 5, Riacho Fundo, Riacho Fundo",,,,27-07-20
371,"Alugo Kit em Formosa/go Com Ótima Localização, Lote Com Apenas 3 Kits.",360 m² área total 1 Quarto 1 Vaga,R$ 380,"Setor Ferroviário, Formosa",,,,27-07-20
372,Casa - Residencial Santos Dumont,156 m² área total 65 m² área útil 2 Quartos 1 Banheiro 2 Vagas,R$ 1.100,"Residencial Santos Dumont, Santa Maria",,,,27-07-20
373,"Casa para Aluguel - Ceilândia, 2 Quartos, 80 m²",80 m² área total 80 m² área útil 2 Quartos 1 Banheiro 2 Vagas,R$ 1.001,"Qno 3 Conjunto J, Ceilandia Centro, Ceilândia",,,,27-07-20
374,Alugo Casa na Qms 36 Rua 02 Setor De Mansões Sobradinho - Df,40 m² área total 2 Quartos 1 Banheiro,R$ 800,"QMS 36 RUA 32 LOTE 01 RES 2, Setor De Mansões De Sobradinho, Sobradinho",,,,27-07-20
375,"Casa para Aluguel - Residencial Parque Oeste, 3 Quartos, 100 m²",100 m² área total 100 m² área útil 3 Quartos 2 Banheiros 3 Vagas,R$ 1.300,"Rua Cp3, Residencial Parque Oeste, Goiânia",,,,27-07-20
376,"Casa para Aluguel - Setor Aeroporto, 3 Quartos, 117 m²",117 m² área total 117 m² área útil 3 Quartos 1 Banheiro 2 Vagas,R$ 1.400,"Rua 8-a, Setor Aeroporto, Goiânia",,,,27-07-20
377,"Casa De Frente 2 Quartos, Entrada E Quintal Independente, p Sul",135 m² área total 90 m² área útil 2 Quartos 1 Banheiro 2 Vagas,R$ 750,"Quadra QNP 32 Conjunto O 35, Ceilandia Sul, Ceilândia",,,,27-07-20
378,Perfeita P/ Organismos Internacionais Escritórios,1000 m² área total 1000 m² área útil 4 Quartos 10 Banheiros 4 Vagas,R$ 38.000,"Lago Sul, Brasília",,,,27-07-20
379,"Casa para Alugar Com 4 Quartos, 130 m²",200 m² área total 130 m² área útil 4 Quartos 1 Banheiro 1 Vaga,R$ 2.100,"Quadra QE 3 Conjunto L 94, Guara I, Guará",,,,27-07-20
380,"Casa para Aluguel - Guará, 4 Quartos, 130 m²",130 m² área total 130 m² área útil 4 Quartos 2 Banheiros 2 Vagas,R$ 2.100,"Qe 3 Conjunto L, Centro, Guará",,,,27-07-20
381,Shis Ql 10 - Nova E Moderna,1280 m² área total 1200 m² área útil 5 Quartos 8 Banheiros 4 Vagas,R$ 45.000,"QD Shis Ql 10, Lago Sul, Brasília",,,,27-07-20
382,Rua Do Açougue - Acampamento Rabelo - Próximo A Torre De Telefonia,40 m² área total 40 m² área útil 1 Quarto 1 Banheiro,R$ 900,"Vila Planalto, Brasília",,,,27-07-20
383,Shis Ql 28,1200 m² área total 200 m² área útil 1 Quarto 2 Banheiros 4 Vagas,R$ 6.000,"Lago Sul, Brasília",,,,27-07-20
384,"Casa Com 3 Dormitórios para Alugar, 200 m² Por R$1.450/mês - Parque Amazônia - Goiânia/go",200 m² área total 200 m² área útil 3 Quartos 2 Banheiros,R$ 1.450,"Parque Amazônia, Goiânia",,,,27-07-20
385,Quadra 203 Conjunto 13 - Casa Com 3 Dormitórios para Alugar Por R$1.400/mês no Recanto Das Emas/df,200 m² área total 120 m² área útil 3 Quartos 1 Banheiro 4 Vagas,R$ 1.400,"Recanto das Emas, Recanto das Emas",,,,27-07-20
386,Quadra Shis Ql 2 Conjunto 3,4000 m² área total 730 m² área útil 9 Quartos 12 Banheiros 5 Vagas,R$ 12.000,"Quadra SHIS QL 2 Conjunto 3, Lago Sul, Brasília",,,,27-07-20
387,Alugo Casa Com 02 Quartos na Qms 27 Lote 18 Sobradinho - Df,35 m² área total 35 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 800,"QMS 27 RUA 21 LOTE 18 CASA 03 , Setor De Mansões De Sobradinho, Sobradinho",,,,27-07-20
388,Noble Aluga Ótimo Sobrado no Santos Dumont,230 m² área total 230 m² área útil 7 Quartos 3 Banheiros 4 Vagas,R$ 2.810,"Residencial Santos Dumont, Santa Maria",,,,27-07-20
389,Shis Qi 23 Casa 5 Suítes.,800 m² área total 500 m² área útil 5 Quartos 7 Banheiros 4 Vagas,R$ 13.000,"Lago Sul, Brasília",,,,27-07-20
390,Shis Qi 15 * Lago Sul * 5 Suítes * 10 Vagas,2500 m² área total 1100 m² área útil 7 Quartos 10 Banheiros 10 Vagas,R$ 45.000,"SHIS QI 15, Lago Sul, Brasília",,,,27-07-20
391,Alugo Casa Shis Qi 26 (61) 9.8294 - 1642,800 m² área total 700 m² área útil 5 Quartos 8 Banheiros 4 Vagas,R$ 10.000,"Lago Sul, Brasília",,,,27-07-20
392,"Casa para Aluguel - Ceilândia, 3 Quartos, 123 m²",123 m² área total 123 m² área útil 3 Quartos 1 Banheiro 3 Vagas,R$ 1.200,"Qno 13 Conjunto E, Ceilandia Centro, Ceilândia",,,,27-07-20
393,"Casa Com 2 Dormitórios para Alugar, 70 m² Por R$950,00/mês - Samambaia Sul - Samambaia/df",70 m² área total 70 m² área útil 2 Quartos 1 Banheiro 1 Vaga,R$ 950,"Samambaia Sul, Samambaia",,,,27-07-20
394,"Casa De Esquina na Qi 15, Lago Sul, à Venda Ou Locação",1100 m² área total 776 m² área útil 5 Quartos 16 Vagas,R$ 45.000,"Lago Sul, Brasília",,,,27-07-20
